,city,latitude,longitude,date,temperature,humidity,cloudiness,windspeed
0,Luanda,-8.83,13.24,1573854510,80.6,78,75,11.41
1,Sibolga,1.74,98.78,1573854570,69.6,96,100,2.3
2,Barrow,-38.31,-60.23,1573854570,86.92,33,99,6.85
3,Victoria,5.28,115.24,1573854309,77.5,94,90,2.24
4,Nong Kung Si,16.65,103.3,1573854570,68.0,94,52,2.24
5,Pisco,-13.71,-76.2,1573854571,68.67,30,40,5.82
6,Port Elizabeth,39.31,-74.98,1573854571,47.53,42,1,5.82
7,Albany,42.65,-73.75,1573854571,39.92,45,1,9.17
8,Traralgon,-38.19,146.54,1573854571,51.53,77,90,10.0
9,Porto Novo,-23.68,-45.44,1573854571,66.2,72,75,3.36
10,Elmadag,39.92,33.23,1573854273,48.16,87,40,2.04
11,Hermanus,-34.42,19.24,1573854571,64.76,91,86,1.99
12,Vaini,15.34,74.49,1573854571,67.19,95,0,5.97
13,Nikolskoye,59.7,30.79,1573854571,36.7,80,75,11.18
14,Ewa Beach,21.32,-158.01,1573854572,83.46,70,1,5.82
15,Kruisfontein,-34.0,24.73,1573854572,60.35,96,0,3.53
16,East London,-33.02,27.91,1573854572,68.31,87,41,6.89
17,Ponta do Sol,-20.63,-46.0,1573854572,66.45,92,100,0.76
18,Ampanihy,-24.69,44.75,1573854572,73.54,77,100,7.94
19,Thompson,55.74,-97.86,1573854437,5.0,65,90,6.93
20,Atuona,-9.8,-139.03,1573854573,80.29,72,4,12.64
21,Pringsewu,-5.36,104.98,1573854573,70.54,99,25,1.9
22,Hamilton,43.26,-79.87,1573854573,35.19,91,75,9.17
23,Cidreira,-30.17,-50.22,1573854573,69.48,75,0,17.43
24,Guider,9.93,13.94,1573854573,83.57,26,100,4.88
25,Puerto Ayora,-0.74,-90.35,1573854573,75.13,61,75,13.87
26,Kaitangata,-46.28,169.85,1573854573,59.0,77,100,5.01
27,Hudson,42.39,-71.57,1573854293,45.21,36,1,8.05
28,Navolato,24.76,-107.7,1573854574,93.83,19,5,3.09
